miRna,target,lp_label,confidence,mor
20040,2992,1,Medium,
20040,4062,1,Medium,
20040,4063,1,Medium,
20040,3198,1,Medium,
20040,4064,1,Medium,
20040,4065,1,Medium,
20040,4066,1,Medium,
20040,4067,1,Medium,
20040,3200,1,Medium,
20040,4068,1,Medium,
20040,4069,1,Medium,
20040,4070,1,Medium,
20040,4071,1,Medium,
20040,4072,1,Medium,
20040,4073,1,Medium,
20040,4074,1,Medium,
20040,4075,1,Medium,
20040,2108,1,Medium,
20040,4076,1,Medium,
20040,4077,1,Medium,
20040,4078,1,Medium,
20040,2871,1,Medium,
20040,4079,1,Medium,
20040,1665,1,Medium,
20040,4080,1,Medium,
20040,4081,1,Medium,
20040,4082,1,Medium,
20040,4083,1,Medium,
20040,4084,1,Medium,
20040,4085,1,Medium,
20040,4086,1,Medium,
20040,4087,1,Medium,
20040,2324,1,Medium,
20040,4088,1,Medium,
20040,4089,1,Medium,
20040,4090,1,Medium,
20040,4091,1,Medium,
20040,4092,1,Medium,
20040,4093,1,Medium,
20040,4094,1,Medium,
20040,4095,1,Medium,
20040,4096,1,Medium,
20040,4097,1,Medium,
20040,4098,1,Medium,
20040,4099,1,Medium,
20040,4100,1,Medium,
20040,4101,1,Medium,
20040,2550,1,Medium,
20040,4102,1,Medium,
20040,2111,1,Medium,
20040,4103,1,Medium,
20040,4104,1,Medium,
20040,4105,1,Medium,
20040,4106,1,Medium,
20040,4107,1,Medium,
20040,4108,1,Medium,
20040,4109,1,Medium,
20040,4110,1,Medium,
20040,4111,1,Medium,
20040,4112,1,Medium,
20040,4113,1,Medium,
20040,4114,1,Medium,
20040,4115,1,Medium,
20040,4116,1,Medium,
20040,4117,1,Medium,
20040,4118,1,Medium,
20040,1885,1,Medium,
20040,4119,1,Medium,
20040,4120,1,Medium,
20040,4121,1,Medium,
20040,4122,1,Medium,
20040,4123,1,Medium,
20040,4124,1,Medium,
20040,3684,1,Medium,
20040,4125,1,Medium,
20040,4126,1,Medium,
20040,4127,1,Medium,
20040,4128,1,Medium,
20040,2975,1,Medium,
20040,3484,1,Medium,
20040,4129,1,Medium,
20040,2978,1,Medium,
20040,4130,1,Medium,
20040,4131,1,Medium,
20040,4132,1,Medium,
20040,4133,1,Medium,
20040,4134,1,Medium,
20040,4135,1,Medium,
20040,4136,1,Medium,
20040,4137,1,Medium,
20040,4138,1,Medium,
20040,4139,1,Medium,
20040,4140,1,Medium,
20040,3382,1,Medium,
20040,4141,1,Medium,
20040,4142,1,Medium,
20040,2952,1,Medium,
20040,4143,1,Medium,
20040,4144,1,Medium,
20040,4145,1,Medium,
20040,4146,1,Medium,
20040,4147,1,Medium,
20040,4148,1,Medium,
20040,4149,1,Medium,
20040,4150,1,Medium,
20040,4151,1,Medium,
20040,4152,1,Medium,
20040,4153,1,Medium,
20040,4154,1,Medium,
20040,2558,1,Medium,
20040,4155,1,Medium,
20040,4156,1,Medium,
20040,4157,1,Medium,
20040,4158,1,Medium,
20040,4159,1,Medium,
20040,4160,1,Medium,
20040,3162,1,Medium,
20040,4161,1,Medium,
20040,4162,1,Medium,
20040,4163,1,Medium,
20040,4164,1,Medium,
20040,4165,1,Medium,
20040,2758,1,Medium,
20040,4166,1,Medium,
20040,4167,1,Medium,
20040,4168,1,Medium,
20040,4169,1,Medium,
20040,4170,1,Medium,
20040,4171,1,Medium,
20040,4172,1,Medium,
20040,4173,1,Medium,
20040,4174,1,Medium,
20040,4175,1,Medium,
20040,4176,1,Medium,
20040,4177,1,Medium,
20040,4178,1,Medium,
20040,3390,1,Medium,
20040,4179,1,Medium,
20040,4180,1,Medium,
20040,1947,1,Medium,
20040,4181,1,Medium,
20040,4182,1,Medium,
20040,4183,1,Medium,
20040,4184,1,Medium,
20040,4185,1,Medium,
20040,4186,1,Medium,
20040,1799,1,Medium,
20040,4187,1,Medium,
20040,4188,1,Medium,
20040,4189,1,Medium,
20040,4190,1,Medium,
20040,4191,1,Medium,
20040,4192,1,Medium,
20040,4193,1,Medium,
20040,4194,1,Medium,
20040,4195,1,Medium,
20040,4196,1,Medium,
20040,4197,1,Medium,
20040,4198,1,Medium,
20040,4199,1,Medium,
20040,4200,1,Medium,
20040,4201,1,Medium,
20040,1875,1,Medium,
20040,1798,1,Medium,
20040,3294,1,Medium,
20040,3066,1,Medium,
20040,4202,1,Medium,
20040,4203,1,Medium,
20040,4204,1,Medium,
20040,4205,1,Medium,
20040,4206,1,Medium,
20040,4207,1,Medium,
20040,4208,1,Medium,
20040,4209,1,Medium,
20040,4210,1,Medium,
20040,4211,1,Medium,
