miRna,TF,lp_label,confidence,mor
20045,986,1,Medium,
20045,274,1,Medium,
20045,553,1,Medium,
20045,290,1,Medium,
20045,1083,1,Medium,
20045,533,1,Medium,
20045,981,1,Medium,
20045,311,1,Medium,
20045,141,1,Medium,
20045,137,1,Medium,
20045,132,1,Medium,
20045,1001,1,Medium,
20045,574,1,Medium,
20045,153,1,Medium,
20045,155,1,Medium,
20045,266,1,Medium,
20045,619,1,Medium,
20045,750,1,Medium,
20045,621,1,Medium,
20045,627,1,Medium,
20045,633,1,Medium,
20045,650,1,Medium,
20045,192,1,Medium,
20045,1021,1,Medium,
20045,652,1,Medium,
20045,1025,1,Medium,
20045,658,1,Medium,
20045,1028,1,Medium,
20045,196,1,Medium,
20045,669,1,Medium,
20045,200,1,Medium,
20045,675,1,Medium,
20045,678,1,Medium,
20045,680,1,Medium,
20045,824,1,Medium,
20045,818,1,Medium,
20045,718,1,Medium,
20045,245,1,Medium,
20045,741,1,Medium,
20045,252,1,Medium,
20045,1054,1,Medium,
20045,725,1,Medium,
20045,731,1,Medium,
20045,263,1,Medium,
20045,1322,1,Medium,
20045,1305,1,Medium,
20045,1143,1,Medium,
20045,877,1,Medium,
20045,1302,1,Medium,
20045,1283,1,Medium,
20045,1258,1,Medium,
20045,1414,1,Medium,
20045,1342,1,Medium,
20045,1337,1,Medium,
20045,901,1,Medium,
20045,1346,1,Medium,
20045,1549,1,Medium,
20045,1506,1,Medium,
20045,1471,1,Medium,
20045,1646,1,Medium,
20045,1560,1,Medium,
20045,808,1,Medium,
20045,805,1,Medium,
20046,196,1,Medium,
20046,669,1,Medium,
20046,1021,1,Medium,
20046,652,1,Medium,
20046,192,1,Medium,
20046,650,1,Medium,
20046,655,1,Medium,
20046,1025,1,Medium,
20046,658,1,Medium,
20046,1028,1,Medium,
20046,741,1,Medium,
20046,200,1,Medium,
20046,675,1,Medium,
20046,680,1,Medium,
20046,678,1,Medium,
20046,236,1,Medium,
20046,718,1,Medium,
20046,245,1,Medium,
20046,252,1,Medium,
20046,725,1,Medium,
20046,1054,1,Medium,
20046,263,1,Medium,
20046,731,1,Medium,
20046,274,1,Medium,
20046,266,1,Medium,
20046,1070,1,Medium,
20046,750,1,Medium,
20046,296,1,Medium,
20046,1073,1,Medium,
20046,287,1,Medium,
20046,290,1,Medium,
20046,301,1,Medium,
20046,805,1,Medium,
20046,1083,1,Medium,
20046,311,1,Medium,
20046,71,1,Medium,
20046,94,1,Medium,
20046,512,1,Medium,
20046,967,1,Medium,
20046,517,1,Medium,
20046,11,1,Medium,
20046,929,1,Medium,
20046,409,1,Medium,
20046,425,1,Medium,
20046,426,1,Medium,
20046,34,1,Medium,
20046,70,1,Medium,
20046,434,1,Medium,
20046,67,1,Medium,
20046,75,1,Medium,
20046,815,1,Medium,
20046,818,1,Medium,
20046,824,1,Medium,
20046,863,1,Medium,
20046,1560,1,Medium,
20046,1143,1,Medium,
20046,877,1,Medium,
20046,1549,1,Medium,
20046,1322,1,Medium,
20046,1305,1,Medium,
20046,1258,1,Medium,
20046,1302,1,Medium,
20046,1283,1,Medium,
20046,1535,1,Medium,
20046,1346,1,Medium,
20046,1337,1,Medium,
20046,1343,1,Medium,
20046,1342,1,Medium,
20046,1506,1,Medium,
20046,901,1,Medium,
20046,1471,1,Medium,
20046,1414,1,Medium,
20046,633,1,Medium,
20046,619,1,Medium,
20046,479,1,Medium,
20046,621,1,Medium,
20046,627,1,Medium,
20046,533,1,Medium,
20046,132,1,Medium,
20046,986,1,Medium,
20046,981,1,Medium,
20046,553,1,Medium,
20046,127,1,Medium,
20046,124,1,Medium,
20046,561,1,Medium,
20046,141,1,Medium,
20046,137,1,Medium,
20046,138,1,Medium,
20046,574,1,Medium,
20046,153,1,Medium,
20046,912,1,Medium,
20046,401,1,Medium,
20046,1001,1,Medium,
20046,155,1,Medium,
20047,1047,1,Medium,
20047,11,1,Medium,
20047,252,1,Medium,
20047,1050,1,Medium,
20047,718,1,Medium,
20047,725,1,Medium,
20047,245,1,Medium,
20047,1054,1,Medium,
20047,287,1,Medium,
20047,731,1,Medium,
20047,741,1,Medium,
20047,274,1,Medium,
20047,266,1,Medium,
20047,748,1,Medium,
20047,750,1,Medium,
20047,1070,1,Medium,
20047,1073,1,Medium,
20047,290,1,Medium,
20047,296,1,Medium,
20047,301,1,Medium,
20047,1083,1,Medium,
20047,877,1,Medium,
20047,311,1,Medium,
20047,805,1,Medium,
20047,815,1,Medium,
20047,824,1,Medium,
20047,362,1,Medium,
20047,1143,1,Medium,
20047,1506,1,Medium,
20047,1471,1,Medium,
20047,1302,1,Medium,
20047,1283,1,Medium,
20047,1258,1,Medium,
20047,1414,1,Medium,
20047,1337,1,Medium,
20047,1322,1,Medium,
20047,1305,1,Medium,
20047,1346,1,Medium,
20047,1338,1,Medium,
20047,1343,1,Medium,
20047,1342,1,Medium,
20047,1535,1,Medium,
20047,1560,1,Medium,
20047,1549,1,Medium,
20047,912,1,Medium,
20047,401,1,Medium,
20047,409,1,Medium,
20047,419,1,Medium,
20047,929,1,Medium,
20047,425,1,Medium,
20047,426,1,Medium,
20047,34,1,Medium,
20047,434,1,Medium,
20047,70,1,Medium,
20047,94,1,Medium,
20047,67,1,Medium,
20047,71,1,Medium,
20047,75,1,Medium,
20047,479,1,Medium,
20047,967,1,Medium,
20047,517,1,Medium,
20047,533,1,Medium,
20047,981,1,Medium,
20047,124,1,Medium,
20047,553,1,Medium,
20047,986,1,Medium,
20047,574,1,Medium,
20047,561,1,Medium,
20047,141,1,Medium,
20047,132,1,Medium,
20047,127,1,Medium,
20047,138,1,Medium,
20047,137,1,Medium,
20047,155,1,Medium,
20047,619,1,Medium,
20047,621,1,Medium,
20047,627,1,Medium,
20047,633,1,Medium,
20047,192,1,Medium,
20047,1021,1,Medium,
20047,652,1,Medium,
20047,650,1,Medium,
20047,196,1,Medium,
20047,658,1,Medium,
20047,655,1,Medium,
20047,669,1,Medium,
20047,1028,1,Medium,
20047,200,1,Medium,
20047,678,1,Medium,
20047,675,1,Medium,
20047,680,1,Medium,
20048,863,1,Medium,
20048,1468,1,Medium,
20048,1186,1,Medium,
20048,1179,1,Medium,
20048,881,1,Medium,
20048,1211,1,Medium,
20048,1240,1,Medium,
20048,1201,1,Medium,
20048,1304,1,Medium,
20048,1282,1,Medium,
20048,1294,1,Medium,
20048,1646,1,Medium,
20048,1606,1,Medium,
20048,1598,1,Medium,
20048,1509,1,Medium,
