:ID,name,:LABEL
654,MKL1,TF
655,MLL2,TF
656,MLL3,TF
657,MLL4,TF
658,MLLT10,TF
659,MLLT3,TF
660,MLX,TF
661,MLXIPL,TF
662,MSC,TF
663,MSX1,TF
664,MSX2,TF
665,MTA1,TF
666,MTA2,TF
667,MTA3,TF
668,MTF1,TF
669,MXD1,TF
670,MXD4,TF
671,MZF1,TF
672,MXI1,TF
673,MYBBP1A,TF
674,MYOCD,TF
675,NAB1,TF
676,NAB2,TF
677,NANOG,TF
678,NCOA1,TF
679,NCOA2,TF
680,NCOA3,TF
681,NCOA6,TF
682,NCOR1,TF
683,NEAT1,TF
684,NELFB,TF
685,NELFCD,TF
686,NF1,TF
687,NFE2,TF
688,NFE2L1,TF
689,NFIL3,TF
690,NFKBIZ,TF
691,NFRKB,TF
692,NHLH2,TF
693,NKX2-1,TF
694,NKX2-3,TF
695,NONO,TF
696,NPAS3,TF
697,NPM1,TF
698,NR0B1,TF
699,NR1H2,TF
700,NR1H3,TF
701,NR1I2,TF
702,NR1I3,TF
703,NR2C2,TF
704,NR2E3,TF
705,NR2F1,TF
706,NR2F2,TF
707,NR2F6,TF
708,NR3C1,TF
709,NR4A2,TF
710,NR4A3,TF
711,NR5A1,TF
712,NR5A2,TF
713,NRF1,TF
714,NRIP1,TF
715,NRL,TF
716,NUPR1,TF
717,OLIG2,TF
718,ONECUT2,TF
719,OTX1,TF
720,OTX2,TF
721,PA2G4,TF
722,PARP1,TF
723,PAWR,TF
724,PBX1,TF
725,PBX2,TF
726,PCBD1,TF
727,PCGF2,TF
728,PDCD11,TF
729,PHB2,TF
730,PHF10,TF
731,PHF8,TF
732,PHOX2A,TF
733,PHOX2B,TF
734,PIR,TF
735,PITX1,TF
736,PITX2,TF
737,PITX3,TF
738,PKNOX1,TF
739,PLAG1,TF
740,PLAGL1,TF
741,PLAGL2,TF
742,POLR1A,TF
743,POU1F1,TF
744,POU2AF1,TF
745,POU3F4,TF
746,POU4F1,TF
747,POU4F2,TF
748,PRDM1,TF
749,PRDM14,TF
750,PRDM2,TF
751,PROX1,TF
752,PTF1A,TF
753,PTMA,TF
754,PURA,TF
755,RB1CC1,TF
756,RBBP7,TF
757,RBMX,TF
758,RFWD2,TF
759,RFX1,TF
760,RFX2,TF
761,RFX3,TF
762,RNF14,TF
763,RREB1,TF
764,RUNX3,TF
765,SALL3,TF
766,SALL4,TF
767,SALL4A,TF
768,SATB1,TF
769,SATB2,TF
770,SCAND1,TF
771,SCD5,TF
772,SEC14L2,TF
773,SERTAD1,TF
774,SETBP1,TF
775,SF1,TF
776,SFPQ,TF
777,SHOX,TF
778,SHOX2,TF
779,SIM2,TF
780,SIN3A,TF
781,SIRT1,TF
782,SIRT2,TF
783,SIRT3,TF
784,SKI,TF
785,SKIL,TF
786,SLA2,TF
787,SLC2A4RG,TF
788,SMARCA1,TF
789,SMARCA4,TF
790,SMARCB1,TF
791,SMG6,TF
792,SND1,TF
793,SNIP1,TF
794,SOX11,TF
795,SOX4,TF
796,SOX5,TF
797,SOX6,TF
798,SP100,TF
799,SP7,TF
800,SPDEF,TF
801,SPEN,TF
802,SPIB,TF
803,SPIC,TF
804,SRCAP,TF
805,SREBF2,TF
806,SRY,TF
807,SSB,TF
808,SSX2,TF
809,STAT5,TF
810,SUGP1,TF
811,SUPT3H,TF
812,SUZ12,TF
813,TAF1,TF
814,TAF4,TF
815,TAF5,TF
816,TBC1D22A,TF
817,TBP,TF
818,TBPL1,TF
819,TBR1,TF
820,TBX2,TF
821,TBX20,TF
822,TBX21,TF
823,TBX3,TF
824,TBX5,TF
825,TCF12,TF
826,TCF19,TF
827,TCFL5,TF
828,TEAD1,TF
829,TEAD4,TF
830,TEF,TF
831,TFAP4,TF
832,TFCP2,TF
833,TFCP2L1,TF
834,TFDP3,TF
835,TFEB,TF
836,TFPT,TF
837,TGIF1,TF
838,THRA,TF
839,THRB,TF
840,TIAL1,TF
841,TLE3,TF
842,TOB1,TF
843,TOP2B,TF
844,TP53BP1,TF
845,TP65,TF
846,TRAF6,TF
847,TRERF1,TF
848,TRIB3,TF
849,TRIM16,TF
850,TRIM22,TF
851,TRIM28,TF
852,TRPS1,TF
853,TRRAP,TF
854,TSC22D1,TF
855,TSC22D3,TF
856,TTF2,TF
857,TWIST2,TF
858,UBP1,TF
859,UBTF,TF
860,UHRF1,TF
861,UPF1,TF
862,UPF2,TF
863,URI1,TF
864,UTF1,TF
865,VDR,TF
866,VEZF1,TF
867,WDR5,TF
868,WHSC1,TF
869,WWTR1,TF
870,XPC,TF
871,XRCC5,TF
872,XRCC6,TF
873,YBX1,TF
874,YEATS4,TF
875,ZBTB14,TF
876,ZBTB2,TF
877,ZBTB5,TF
878,ZBTB7A,TF
879,ZFHX3,TF
880,ZFP36,TF
881,ZFP36L1,TF
882,ZHX2,TF
883,ZIC1,TF
884,ZIC3,TF
885,ZMYND11,TF
886,ZNF143,TF
887,ZNF148,TF
888,ZNF160,TF
889,ZNF175,TF
890,ZNF202,TF
891,ZNF217,TF
892,ZNF224,TF
893,ZNF239,TF
894,ZNF24,TF
895,ZNF267,TF
896,ZNF300,TF
897,ZNF335,TF
898,ZNF350,TF
899,ZNF382,TF
900,ZNF383,TF
901,ZNF410,TF
902,ZNF423,TF
903,ZNF444,TF
904,ZNF76,TF
905,ZNRD1,TF
906,ADNP,TF
907,ADNP2,TF
908,AEBP2,TF
909,AHRR,TF
910,ALX4,TF
911,ARID2,TF
912,ARID3B,TF
913,ARID5A,TF
914,ARID5B,TF
915,ASCL2,TF
916,ATOH8,TF
917,BARHL1,TF
918,BARHL2,TF
919,BARX1,TF
920,BATF2,TF
921,BATF3,TF
922,BBX,TF
923,BCL11B,TF
924,BCL6B,TF
925,BHLHA15,TF
926,BHLHE22,TF
927,BHLHE40,TF
928,BNC1,TF
929,BNC2,TF
930,BRF2,TF
931,CASZ1,TF
932,CBX2,TF
933,CIC,TF
934,CREBL2,TF
935,CREBZF,TF
936,CSRNP1,TF
937,CSRNP2,TF
938,CSRNP3,TF
939,CUX2,TF
940,CXXC1,TF
941,CXXC4,TF
942,DLX1,TF
943,DLX6,TF
944,DMRT1,TF
945,DMRT2,TF
946,DMRT3,TF
947,DMRTA1,TF
948,DMRTB1,TF
949,DMRTC2,TF
950,DMTF1,TF
951,EBF2,TF
952,EBF4,TF
953,ELF5,TF
954,EMX1,TF
955,EMX2,TF
956,EN2,TF
957,ESX1,TF
958,ETV2,TF
959,FEZF2,TF
960,FIZ1,TF
961,FOXD1,TF
962,FOXD2,TF
963,FOXJ2,TF
964,FOXJ3,TF
965,FOXK1,TF
966,FOXN2,TF
967,FOXN3,TF
968,FOXO6,TF
969,FOXP4,TF
